Gemeentecode,Gemeentenaam,Grote_gemeente,Inwonertal,Provincienaam,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19
GM1884,Kaag en Braassem,Nee,26866,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM0166,Kampen,Nee,53779,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
GM0678,Kapelle,Nee,12785,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
GM0537,Katwijk,Nee,65302,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2
GM0928,Kerkrade,Nee,45642,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3
GM1598,Koggenland,Nee,22738,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
GM0542,Krimpen aan den IJssel,Nee,29376,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
GM1931,Krimpenerwaard,Nee,56048,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,4,4,4,4,5
GM1659,Laarbeek,Nee,22333,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4
GM1685,Landerd,Nee,15529,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,4,5,5,10,14,16,18
GM0882,Landgraaf,Nee,37591,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,7,7
GM0415,Landsmeer,Nee,11488,Noord-Holland,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,3
GM0416,Langedijk,Nee,27992,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,4,4,4
GM1621,Lansingerland,Nee,61601,Zuid-Holland,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,4,4,5,5,7,10,13
GM0417,Laren,Nee,11195,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0080,Leeuwarden,Ja,123107,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,5
GM0546,Leiden,Ja,124899,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,8,8,11,12
GM0547,Leiderdorp,Nee,27109,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
GM1916,Leidschendam-Voorburg,Nee,75425,Zuid-Holland,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,5,6,6
GM0995,Lelystad,Nee,77893,Flevoland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,8,10,12,13
GM1640,Leudal,Nee,35681,Limburg,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,6,6,7,8,11,13
GM0327,Leusden,Nee,30030,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
GM1705,Lingewaard,Nee,46475,Gelderland,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,5
GM0553,Lisse,Nee,22800,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0262,Lochem,Nee,33590,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GM0809,Loon op Zand,Nee,23327,Noord-Brabant,1,1,3,3,4,5,5,6,8,7,7,7,7,7,6,7,7,7,7,8,9,11
GM0331,Lopik,Nee,14473,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
GM0024,Loppersum,Nee,9614,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0168,Losser,Nee,22622,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0263,Maasdriel,Nee,24693,Gelderland,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
GM1641,Maasgouw,Nee,23716,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5
